OUTLETID,BUSNAME,ADDR1,CITY,STATE,ZIP,LATITUDE,LONGITUDE
211500128,USPS COLLECTION BOX - BLUE BOX,660 HUNTINGTON AVE,BOSTON,MA,2115,42.335527,-71.1014819
211500131,USPS COLLECTION BOX - BLUE BOX,677 HUNTINGTON AVE,BOSTON,MA,2115,42.334994,-71.1030359
211500223,USPS COLLECTION BOX - BLUE BOX,625 HUNTINGTON AVE,BOSTON,MA,2115,42.336215,-71.0998608
211500132,USPS COLLECTION BOX - BLUE BOX,722 HUNTINGTON AVE,BOSTON,MA,2115,42.33421,-71.1043778
211500137,USPS COLLECTION BOX - BLUE BOX,188 LONGWOOD AVE,BOSTON,MA,2115,42.3365,-71.1019222
211500117,USPS COLLECTION BOX - BLUE BOX,550 HUNTINGTON AVE,BOSTON,MA,2115,42.336781,-71.0955526
211500007,USPS COLLECTION BOX - BLUE BOX,260 LONGWOOD AVE,BOSTON,MA,2115,42.337248,-71.1038845
211500099,USPS COLLECTION BOX - BLUE BOX,300 LONGWOOD AVE,BOSTON,MA,2115,42.337397,-71.1054918
211500133,USPS COLLECTION BOX - BLUE BOX,805 HUNTINGTON AVE,BOSTON,MA,2115,42.333427,-71.1083179
211500109,USPS COLLECTION BOX - BLUE BOX,230 FENWAY,BOSTON,MA,2115,42.338913,-71.096839
211500110,USPS COLLECTION BOX - BLUE BOX,300 FENWAY,BOSTON,MA,2115,42.339504,-71.099827
211500078,USPS COLLECTION BOX - BLUE BOX,20 VINING ST,BOSTON,MA,2115,42.3349547,-71.1084243
211500098,USPS COLLECTION BOX - BLUE BOX,333 LONGWOOD AVE,BOSTON,MA,2115,42.337995,-71.1057927
211500105,USPS COLLECTION BOX - BLUE BOX,44 BINNEY ST,BOSTON,MA,2115,42.337725,-71.1067515
211500113,USPS COLLECTION BOX - BLUE BOX,74 FENWOOD RD,BOSTON,MA,2115,42.335601,-71.1087628
211500134,USPS COLLECTION BOX - BLUE BOX,836 HUNTINGTON AVE,BOSTON,MA,2115,42.333177,-71.1097454
211500226,USPS COLLECTION BOX - BLUE BOX,400 FENWAY,BOSTON,MA,2115,42.340588,-71.1020581
221500004,USPS COLLECTION BOX - BLUE BOX,454 BROOKLINE AVE,BOSTON,MA,2215,42.337434,-71.1088895
221500009,USPS COLLECTION BOX - BLUE BOX,400 BROOKLINE AVE,BOSTON,MA,2215,42.338618,-71.1076742
211500135,USPS COLLECTION BOX - BLUE BOX,50 LEON ST,BOSTON,MA,2115,42.338513,-71.0906889
221500010,USPS COLLECTION BOX - BLUE BOX,330 BROOKLINE AVE,BOSTON,MA,2215,42.340203,-71.1056854
211500114,USPS COLLECTION BOX - BLUE BOX,104 FORSYTH ST,BOSTON,MA,2115,42.338189,-71.0899173
221500055,USPS COLLECTION BOX - BLUE BOX,125 PARK DR,BOSTON,MA,2215,42.34166407,-71.097738
221500058,USPS COLLECTION BOX - BLUE BOX,81 KILMARNOCK ST,BOSTON,MA,2215,42.342304,-71.0993196
221500039,USPS COLLECTION BOX - BLUE BOX,102 PILGRIM RD,BOSTON,MA,2215,42.341064,-71.1066449
221500057,USPS COLLECTION BOX - BLUE BOX,124 JERSEY ST,BOSTON,MA,2215,42.34262622,-71.09683345
221500037,USPS COLLECTION BOX - BLUE BOX,395 LONGWOOD AVE,BOSTON,MA,2215,42.34005,-71.1089769
221500056,USPS COLLECTION BOX - BLUE BOX,133 PETERBOROUGH ST,BOSTON,MA,2215,42.34294496,-71.1002793
211500116,USPS COLLECTION BOX - BLUE BOX,175 HEMENWAY ST,BOSTON,MA,2115,42.341,-71.0911927
221500066,USPS COLLECTION BOX - BLUE BOX,100 RIVERWAY,BOSTON,MA,2215,42.34278,-71.1034299
221500038,USPS COLLECTION BOX - BLUE BOX,37 PILGRIM RD,BOSTON,MA,2215,42.34246,-71.1050647
211500160,USPS COLLECTION BOX - BLUE BOX,84 THE FENWAY,BOSTON,MA,2115,42.342247,-71.091427
221500059,USPS COLLECTION BOX - BLUE BOX,401 PARK DR,BOSTON,MA,2215,42.34389514,-71.1032421
221500062,USPS COLLECTION BOX - BLUE BOX,16 PETERBOROUGH ST,BOSTON,MA,2215,42.34407604,-71.09586411
221500065,USPS COLLECTION BOX - BLUE BOX,1295 BOYLSTON ST,BOSTON,MA,2215,42.34464507,-71.09755926
211500159,USPS COLLECTION BOX - BLUE BOX,87 SAINT STEPHEN ST,BOSTON,MA,2115,42.341551,-71.0884277
221500092,USPS COLLECTION BOX - BLUE BOX,1280 BOYLSTON ST,BOSTON,MA,2215,42.34471275,-71.09686859
211500115,USPS COLLECTION BOX - BLUE BOX,115 GAINSBOROUGH ST,BOSTON,MA,2115,42.34256,-71.0899331
221500047,USPS COLLECTION BOX - BLUE BOX,126 BROOKLINE AVE,BOSTON,MA,2215,42.34544029,-71.10034193
211500122,USPS COLLECTION BOX - BLUE BOX,290 HUNTINGTON AVE,BOSTON,MA,2115,42.341305,-71.086758
221500060,USPS COLLECTION BOX - BLUE BOX,1247 BOYLSTON ST,BOSTON,MA,2215,42.34530927,-71.09528361
221500040,USPS COLLECTION BOX - BLUE BOX,109 BROOKLINE AVE,BOSTON,MA,2215,42.34588551,-71.09995543
211500121,USPS COLLECTION BOX - BLUE BOX,289 HUNTINGTON AVE,BOSTON,MA,2115,42.341632,-71.086439
221500030,USPS COLLECTION BOX - BLUE BOX,452 PARK DR,BOSTON,MA,2215,42.345627,-71.1047177
211500238,USPS COLLECTION BOX - BLUE BOX,52 WESTLAND AVE,BOSTON,MA,2115,42.343748,-71.0882352
221500053,USPS COLLECTION BOX - BLUE BOX,1179 BOYLSTON ST,BOSTON,MA,2215,42.34629014,-71.09361265
221500011,USPS COLLECTION BOX - BLUE BOX,38 FENWAY,BOSTON,MA,2215,42.34536112,-71.09058617
221500064,USPS COLLECTION BOX - BLUE BOX,82 BROOKLINE AVE,BOSTON,MA,2215,42.34706691,-71.09856804
221500164,USPS COLLECTION BOX - BLUE BOX,880 BEACON ST,BOSTON,MA,2215,42.34663954,-71.10562139
211500152,USPS COLLECTION BOX - BLUE BOX,301 MASSACHUSETTS AVE,BOSTON,MA,2115,42.343318,-71.0860449
221500028,USPS COLLECTION BOX - BLUE BOX,829 BEACON ST,BOSTON,MA,2215,42.34726903,-71.1026749
221500061,USPS COLLECTION BOX - BLUE BOX,1 LANSDOWNE ST,BOSTON,MA,2215,42.34719046,-71.094492
211500120,USPS COLLECTION BOX - BLUE BOX,236 HUNTINGTON AVE,BOSTON,MA,2115,42.343106,-71.0844581
221500025,USPS COLLECTION BOX - BLUE BOX,700 BEACON ST,BOSTON,MA,2215,42.34827682,-71.09922818
221500029,USPS COLLECTION BOX - BLUE BOX,506 PARK DR,BOSTON,MA,2215,42.347565,-71.1057352
221500069,USPS COLLECTION BOX - BLUE BOX,677 BEACON ST,BOSTON,MA,2215,42.34835919,-71.0987523
211500145,USPS COLLECTION BOX - BLUE BOX,207 MASSACHUSETTS AVE,BOSTON,MA,2115,42.344915,-71.0864448
221500013,USPS COLLECTION BOX - BLUE BOX,1126 BOYLSTON ST,BOSTON,MA,2215,42.3469065,-71.08888456
211500151,USPS COLLECTION BOX - BLUE BOX,161 MASSACHUSETTS AVE,BOSTON,MA,2115,42.346351,-71.0872306
221500082,USPS COLLECTION BOX - BLUE BOX,466 COMMONWEALTH AVE,BOSTON,MA,2215,42.34878751,-71.093322
221500014,USPS COLLECTION BOX - BLUE BOX,609 COMMONWEALTH AVE,BOSTON,MA,2215,42.34946936,-71.10100952
211500119,USPS COLLECTION BOX - BLUE BOX,220 HUNTINGTON AVE,BOSTON,MA,2115,42.344204,-71.083011
221500026,USPS COLLECTION BOX - BLUE BOX,700 COMMONWEALTH AVE,BOSTON,MA,2215,42.34958762,-71.10396642
211500106,USPS COLLECTION BOX - BLUE BOX,1044 BOYLSTON ST,BOSTON,MA,2115,42.34730266,-71.08733908
221500042,USPS COLLECTION BOX - BLUE BOX,400 COMMONWEALTH AVE,BOSTON,MA,2215,42.34882051,-71.090721
221500068,USPS COLLECTION BOX - BLUE BOX,59 BAY STATE RD,BOSTON,MA,2215,42.349969,-71.0954809
